source,target,value
By Liverpool,On Tottenham,82
By Liverpool,On Chelsea,59
By Liverpool,On Man United,54
By Liverpool,On Arsenal,80
By Man United,On Arsenal,72
By Man United,On Tottenham,85
By Man United,On Liverpool,71
By Man United,On Chelsea,59
By Arsenal,On Tottenham,81
By Arsenal,On Chelsea,64
By Arsenal,On Man United,52
By Arsenal,On Liverpool,64
By Tottenham,On Chelsea,49
By Tottenham,On Arsenal,58
By Tottenham,On Liverpool,57
By Tottenham,On Man United,43
By Chelsea,On Tottenham,92
By Chelsea,On Liverpool,62
By Chelsea,On Man United,67
By Chelsea,On Arsenal,68
